                 List of relations
 Schema |          Name           | Type  |  Owner  
--------+-------------------------+-------+---------
 public | ai_analysis             | table | kaifong
 public | ai_feedback             | table | kaifong
 public | ai_insight_summary      | table | kaifong
 public | ai_keywords             | table | kaifong
 public | api_logs                | table | kaifong
 public | area_summary            | table | kaifong
 public | audit_logs              | table | kaifong
 public | categories              | table | kaifong
 public | category_summary        | table | kaifong
 public | channels                | table | kaifong
 public | complaint_feedback      | table | kaifong
 public | complaint_files         | table | kaifong
 public | complaints              | table | kaifong
 public | daily_complaint_summary | table | kaifong
 public | departments             | table | kaifong
 public | integrations            | table | kaifong
 public | liff_sessions           | table | kaifong
 public | notification_templates  | table | kaifong
 public | notifications           | table | kaifong
 public | permissions             | table | kaifong
 public | priority_levels         | table | kaifong
 public | role_permissions        | table | kaifong
 public | roles                   | table | kaifong
 public | sla_matrix              | table | kaifong
 public | sla_summary             | table | kaifong
 public | sla_tracking            | table | kaifong
 public | staff_credentials       | table | kaifong
 public | status_master           | table | kaifong
 public | subcategories           | table | kaifong
 public | system_configs          | table | kaifong
 public | system_settings         | table | kaifong
 public | team_members            | table | kaifong
 public | teams                   | table | kaifong
 public | tenant_usage            | table | kaifong
 public | tenants                 | table | kaifong
 public | user_departments        | table | kaifong
 public | user_manuals            | table | kaifong
 public | user_sessions           | table | kaifong
 public | users                   | table | kaifong
 public | workflow_logs           | table | kaifong
(40 rows)

